game,rl_player,rl_team,winner,turns,capped,score_a,score_b,total_reward,avg_reward_recent,win_rate_recent,policy_loss,entropy,avg_selected_action_prob,grad_norm,weight_delta_norm,learning_rate,epsilon,temperature,decisions,explored_actions,sampled_actions,greedy_actions,checkpoint_path,eval_win_rate,eval_avg_reward,warning
847,2,A,A,382,False,8,6,503.725,-138.65295312499995,0.37,-2.2456858158111572,0.6904837489128113,0.6290158161779299,24.406420243158376,0.00022461444683666407,1e-05,0.1,1.0,47,2,45,0,,,,
848,3,B,B,246,False,5,8,522.9734375,-128.38726562499997,0.38,1.1953425407409668,0.4966457486152649,0.6985197552555317,28.187445390845348,0.00020532687224184674,1e-05,0.1,1.0,37,4,33,0,,,,
849,0,A,B,253,False,3,8,-532.325,-138.78901562499996,0.37,8.200601577758789,0.3905833065509796,0.6482871138861002,14.733287082500524,0.0001918112333217919,1e-05,0.1,1.0,18,3,15,0,,,,
850,1,B,B,225,False,5,8,528.3296875,-128.31934375,0.38,-21.47056007385254,0.5961028337478638,0.5929888499959688,47.10809918971681,0.00018034122929672832,1e-05,0.1,1.0,32,7,25,0,,,,
851,2,A,B,307,False,3,8,-559.88359375,-128.62911718749996,0.38,14.046854019165039,0.5323390364646912,0.6371233166202018,71.22575156432316,0.0002130856601883043,1e-05,0.1,1.0,41,5,36,0,,,,
852,3,B,A,327,False,8,5,-524.8,-128.6839609375,0.38,17.17398452758789,0.5893548727035522,0.605565382027169,47.75216320836024,0.00023941743748620922,1e-05,0.1,1.0,38,5,33,0,,,,
853,0,A,A,327,False,8,6,520.8078125,-128.35178906249996,0.38,-7.458460807800293,0.5453625321388245,0.6477664052133117,38.9475897036545,0.00024478721868593264,1e-05,0.1,1.0,34,5,29,0,,,,
854,1,B,A,344,False,8,6,-523.87109375,-128.50981249999998,0.38,1.684792160987854,0.3916405439376831,0.7561030329205096,11.251094605048646,0.00021788307766126074,1e-05,0.1,1.0,40,2,38,0,,,,
855,2,A,B,454,False,7,8,-506.95,-138.60065625,0.37,-41.066253662109375,0.6366948485374451,0.5366545728280617,79.38236372737143,0.00022626655810935726,1e-05,0.1,1.0,60,9,51,0,,,,
856,3,B,A,238,False,8,5,-529.2,-149.006578125,0.36,-5.157445907592773,0.3832379877567291,0.692368133650983,32.73010543882346,0.00021386012861575012,1e-05,0.1,1.0,17,2,15,0,,,,
857,0,A,A,305,False,8,7,503.9109375,-138.82007812499998,0.37,-10.66456413269043,0.4187806248664856,0.6732454846051577,25.98492980597707,0.00020158076906338432,1e-05,0.1,1.0,34,4,30,0,,,,
858,1,B,B,350,False,6,8,491.9765625,-138.9673125,0.37,-2.9605770111083984,0.34187090396881104,0.7967815517976478,25.404588660484897,0.00018229616259694256,1e-05,0.1,1.0,37,1,36,0,,,,
859,2,A,B,312,False,6,8,-530.7859375,-138.79968749999998,0.37,8.75572395324707,0.535717785358429,0.6500739187843907,21.370881212089177,0.0002673275300890574,1e-05,0.1,1.0,45,6,39,0,,,,
860,3,B,B,423,False,7,8,522.7562499999999,-138.51526562499998,0.37,-25.875459671020508,0.45798516273498535,0.7154057605144842,42.07597915492869,0.0002467399644389271,1e-05,0.1,1.0,51,7,44,0,,,,
861,0,A,A,373,False,8,7,494.68125000000003,-128.5359375,0.38,4.102165699005127,0.5725682377815247,0.7279011097793676,17.329232055016863,0.00022348519355716435,1e-05,0.1,1.0,49,1,48,0,,,,
